PLAYER,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,GP,Date
Garrett Temple,0.157142857142857,4.199999999999999,0.6142857142857145,2.157142857142857,0.22857142857142843,0.3999999999999999,0.3285714285714285,1.9142857142857137,4.257142857142856,0.31428571428571433,0.5142857142857141,1.0,2022-01-13
Garrison Mathews,2.5,9.954545454545455,1.2454545454545445,0.22727272727272696,1.3727272727272732,0.4,0.7,4.072727272727275,8.536363636363639,-0.9272727272727276,-1.3363636363636366,1.0,2022-01-13
Gary Clark,-6.0,-17.0,-7.0,-2.0,-1.5,-1.0,-1.5,-6.5,-13.0,2.0,4.0,1.0,2022-01-13
Gary Harris,0.74,9.54,0.14,2.14,0.42,0.2,1.06,3.58,9.84,1.64,2.56,1.0,2022-01-13
Gary Payton II,1.842857142857143,12.0,4.171428571428571,1.657142857142857,0.5428571428571431,0.48571428571428565,1.9285714285714286,5.300000000000001,9.100000000000001,-0.25714285714285706,-0.42857142857142855,1.0,2022-01-13
Gary Trent Jr.,2.8891891891891888,18.859459459459462,2.6108108108108112,2.1,0.9540540540540542,0.02162162162162159,1.0891891891891892,7.2351351351351365,16.77027027027027,1.3108108108108107,1.6108108108108108,1.0,2022-01-13
George Hill,1.0891891891891892,7.4783783783783795,0.17297297297297273,3.345945945945946,0.7999999999999999,0.19999999999999998,0.7108108108108109,2.410810810810811,4.664864864864865,1.2891891891891891,1.5783783783783782,1.0,2022-01-13
George King,0.0,0.6,2.35,0.0,0.0,0.0,0.6,0.0,2.35,0.6,1.25,1.0,2022-01-13
Georges Niang,1.268,8.191999999999997,1.3799999999999994,1.056,0.012000000000000028,0.44400000000000006,0.06799999999999998,3.8440000000000007,8.975999999999999,-0.664,-0.9519999999999998,1.0,2022-01-13
Georgios Kalaitzakis,0.3264705882352941,2.9382352941176473,1.911764705882353,0.0,-0.026470588235294117,-0.026470588235294117,1.1588235294117646,1.1058823529411765,2.591176470588235,0.2735294117647059,1.3794117647058823,1.0,2022-01-13
